model,train_setting,noise_type,norm_stage,macro_f1,accuracy,source_file,macro_precision,macro_recall,weighted_precision,weighted_recall,weighted_f1,clean_precision,clean_recall,clean_f1,clean_support,offensive_precision,offensive_recall,offensive_f1,offensive_support,hate_precision,hate_recall,hate_f1,hate_support,train_setting_clean
SVM,original_artifact,slang_teencode,before_norm,0.6431212627362363,0.863622754491018,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,mixed_noise,before_norm,0.371508286858401,0.7679640718562875,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,mixed_noise,before_norm,0.5150905983783695,0.795059880239521,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original,clean,before_norm,0.6369848714692066,0.865568862275449,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,clean,before_norm,0.6404903607921131,0.8663173652694611,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,no_accent,before_norm,0.5305209475485081,0.8044910179640719,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,no_accent,before_norm,0.5303122712180438,0.8053892215568862,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,repeated_char,before_norm,0.3648773026502223,0.8244011976047905,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,repeated_char,before_norm,0.6364106129629175,0.8648203592814371,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,special_char,before_norm,0.5694684816111063,0.8522455089820359,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,special_char,before_norm,0.6404903607921131,0.8663173652694611,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,masked_word,before_norm,0.5718763723411465,0.8531437125748503,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,masked_word,before_norm,0.5689801550199417,0.8465568862275449,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,slang_teencode,before_norm,0.6290569831168993,0.8625748502994012,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,slang_teencode,before_norm,0.6402504820126995,0.8661676646706586,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,mixed_noise,before_norm,0.3623530774629002,0.7657185628742516,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,original,mixed_noise,before_norm,0.510552406073331,0.8017964071856287,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original
SVM,augmented_mixed,clean,before_norm,0.6164744607520661,0.854191616766467,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,clean,before_norm,0.615526788816274,0.8538922155688623,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,no_accent,before_norm,0.611899412561233,0.8474550898203593,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,no_accent,before_norm,0.61441026482138,0.8483532934131737,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,repeated_char,before_norm,0.6351744624506069,0.8610778443113772,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,repeated_char,before_norm,0.6129267628153001,0.8523952095808384,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,special_char,before_norm,0.580349059828158,0.8473053892215568,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,special_char,before_norm,0.615336888711785,0.8537425149700599,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,masked_word,before_norm,0.5794055928573081,0.8471556886227545,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,masked_word,before_norm,0.5736063668785448,0.838622754491018,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
SVM,augmented_mixed,slang_teencode,before_norm,0.6127039140072376,0.8525449101796407,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,augmented_mixed
